10_South,10_North,10_Central,20_South,20_North,20_Central,30_South,30_North,30_Central
1,146,74,1,130,66,1,114,58
2,147,75,2,131,67,2,115,59
3,148,76,3,132,68,3,116,60
4,149,77,4,133,69,4,117,61
5,150,78,5,134,70,5,118,62
6,151,79,6,135,71,6,119,63
7,152,80,7,136,72,7,120,64
8,153,81,8,137,73,8,121,65
9,154,82,9,138,74,9,122,66
10,155,83,10,139,75,10,123,67
11,156,84,11,140,76,11,124,68
12,157,85,12,141,77,12,125,69
13,158,86,13,142,78,13,126,70
14,159,87,14,143,79,14,127,71
15,160,88,15,144,80,15,128,72
16,161,89,16,145,81,16,129,73
,,,17,146,82,17,130,74
,,,18,147,83,18,131,75
,,,19,148,84,19,132,76
,,,20,149,85,20,133,77
,,,21,150,86,21,134,78
,,,22,151,87,22,135,79
,,,23,152,88,23,136,80
,,,24,153,89,24,137,81
,,,25,154,90,25,138,82
,,,26,155,91,26,139,83
,,,27,156,92,27,140,84
,,,28,157,93,28,141,85
,,,29,158,94,29,142,86
,,,30,159,95,30,143,87
,,,31,160,96,31,144,88
,,,32,161,97,32,145,89
,,,,,,33,146,90
,,,,,,34,147,91
,,,,,,35,148,92
,,,,,,36,149,93
,,,,,,37,150,94
,,,,,,38,151,95
,,,,,,39,152,96
,,,,,,40,153,97
,,,,,,41,154,98
,,,,,,42,155,99
,,,,,,43,156,100
,,,,,,44,157,101
,,,,,,45,158,102
,,,,,,46,159,103
,,,,,,47,160,104
,,,,,,48,161,105
